City,Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,rating,Year
Boston,Celtics,82,57,25,0.695,48.7,117.9,42.2,88.8,47.5,16,42.6,37.7,17.5,21.6,81.2,9.7,35.6,45.3,26.7,13.4,6.4,5.2,3.9,18.8,19.1,6.5,2023
Cleveland,Cavaliers,82,51,31,0.622,48.5,112.3,41.6,85.2,48.8,11.6,31.6,36.7,17.5,22.5,78,9.7,31.4,41.1,24.9,13.3,7.1,4.7,4.4,19,20.4,5.4,2023
Philadelphia,76ers,82,54,28,0.659,48.5,115.2,40.8,83.8,48.7,12.6,32.6,38.7,21,25.1,83.5,8.7,32.2,40.9,25.2,13.7,7.7,4.7,4.6,20.4,19.6,4.3,2023
Memphis,Grizzlies,82,51,31,0.622,48.2,116.9,43.7,92.1,47.5,12,34.2,35.1,17.5,23.8,73.3,12,34.6,46.6,26,13.6,8.3,5.8,5.2,20,20,3.9,2023
Milwaukee,Bucks,82,58,24,0.707,48.4,116.9,42.7,90.4,47.3,14.8,40.3,36.8,16.6,22.4,74.3,11.1,37.5,48.6,25.8,14.6,6.4,4.9,3.9,18,19,3.6,2023
Denver,Nuggets,82,53,29,0.646,48.2,115.8,43.6,86.4,50.4,11.8,31.2,37.9,16.8,22.4,75.1,10.1,32.9,43,28.9,14.5,7.5,4.5,4.2,18.6,19.5,3.3,2023
New York,Knicks,82,47,35,0.573,48.7,116,42,89.4,47,12.6,35.7,35.4,19.4,25.5,76.1,12.6,34,46.6,22.9,13,6.4,4.1,4.5,20.3,20.7,2.9,2023
Sacramento,Kings,82,48,34,0.585,48.4,120.7,43.6,88.2,49.4,13.8,37.3,36.9,19.8,25.1,79,9.5,32.9,42.5,27.3,13.5,7,3.4,4.2,19.7,20.9,2.6,2023
Phoenix,Suns,82,45,37,0.549,48.2,113.6,42.1,90.1,46.7,12.2,32.6,37.4,17.2,21.7,79.3,11.8,32.4,44.2,27.3,13.5,7.1,5.3,4,21.2,19.9,2.1,2023
New Orleans,Pelicans,82,42,40,0.512,48.4,114.4,42,87.6,48,11,30.1,36.4,19.3,24.4,79.3,10.6,33.1,43.7,25.9,14.6,8.3,4.1,4.7,20.5,20.4,1.9,2023
Golden State,Warriors,82,44,38,0.537,48.4,118.9,43.1,90.2,47.9,16.6,43.2,38.5,16,20.2,79.4,10.5,34.1,44.6,29.8,16.3,7.2,4,4,21.4,18.4,1.8,2023
Toronto,Raptors,82,41,41,0.5,48.3,112.9,41.9,91.3,45.9,10.7,32,33.5,18.4,23.4,78.4,12.7,30.3,43,23.9,11.7,9.4,5.2,4.6,20,19.6,1.5,2023
Chicago,Bulls,82,40,42,0.488,48.5,113.1,42.5,86.8,49,10.4,28.9,36.1,17.6,21.8,80.9,8.5,33.9,42.4,24.5,13.4,7.9,4.5,4.7,18.9,18.7,1.3,2023
Oklahoma City,Thunder,82,40,42,0.488,48.4,117.5,43.1,92.6,46.5,12.1,34.1,35.6,19.2,23.7,80.9,11.4,32.3,43.7,24.4,13,8.2,4.2,5.5,21,20.4,1.1,2023
Brooklyn,Nets,82,45,37,0.549,48.1,113.4,41.5,85.1,48.7,12.8,33.8,37.8,17.7,22.1,80,8.2,32.3,40.5,25.5,13.7,7.1,6.2,3.9,21.1,18.5,0.9,2023
Los Angeles,Lakers,82,43,39,0.524,48.5,117.2,42.9,89,48.2,10.8,31.2,34.6,20.6,26.6,77.5,10,35.7,45.7,25.3,14.1,6.4,4.6,5.1,17.9,21.5,0.6,2023
LA,Clippers,82,44,38,0.537,48.4,113.6,41.1,86.1,47.7,12.7,33.3,38.1,18.7,23.9,78.1,9.8,33.4,43.2,23.9,14.2,7.1,4.4,4.2,19.5,19.6,0.5,2023
Atlanta,Hawks,82,41,41,0.5,48.4,118.4,44.6,92.4,48.3,10.8,30.5,35.2,18.5,22.6,81.8,11.2,33.2,44.4,25,12.9,7.1,4.9,5,18.8,19.7,0.3,2023
Dallas,Mavericks,82,38,44,0.463,48.6,114.2,40,84.3,47.5,15.2,41,37.1,19,25.1,75.5,7.6,31.2,38.8,22.9,12.2,6.3,3.7,3.8,20.7,21.8,0.1,2023
Minnesota,Timberwolves,82,42,40,0.512,48.4,115.8,42.9,87.4,49,12.2,33.3,36.5,17.9,23.7,75.5,9.1,32.8,41.9,26.2,15.3,8,5.4,4.1,21.6,20.2,0,2023
Miami,Heat,82,44,38,0.537,48.3,109.5,39.2,85.3,46,12,34.8,34.4,19.1,23,83.1,9.7,30.9,40.6,23.8,13.5,8,3,3.8,18.5,20,-0.3,2023
